developer_id,event_time,activity_type,language,duration_minutes
D069,2026-07-01 09:20:00,debugging,Java,13
D092,2026-07-01 09:20:00,debugging,Java,7
D080,2026-07-01 09:20:00,coding,TypeScript,19
D086,2026-07-01 09:20:00,coding,Other,86
D088,2026-07-01 09:20:00,file_edit,Python,77
D010,2026-07-01 09:20:00,debugging,JavaScript,55
D079,2026-07-01 09:20:00,debugging,Python,88
D070,2026-07-01 09:20:00,terminal,JavaScript,40
D069,2026-07-01 09:21:00,debugging,SQL,45
D020,2026-07-01 09:22:00,file_edit,JavaScript,80
D011,2026-07-01 09:22:00,coding,Java,10
D042,2026-07-01 09:23:00,coding,SQL,83
D076,2026-07-01 09:24:00,terminal,Python,80
D097,2026-07-01 09:26:00,debugging,JavaScript,21
D057,2026-07-01 09:26:00,terminal,Java,50
D065,2026-07-01 09:26:00,terminal,Other,48
D092,2026-07-01 09:26:00,coding,SQL,36
D030,2026-07-01 09:27:00,file_edit,TypeScript,38
D017,2026-07-01 09:27:00,coding,Other,41
D059,2026-07-01 09:27:00,file_edit,Java,16
D008,2026-07-01 09:27:00,coding,SQL,22
D021,2026-07-01 09:28:00,file_edit,TypeScript,18
D072,2026-07-01 09:28:00,coding,Other,71
D093,2026-07-01 09:28:00,terminal,SQL,86
D061,2026-07-01 09:29:00,coding,TypeScript,29
D063,2026-07-01 09:31:00,coding,TypeScript,83
D044,2026-07-01 09:31:00,coding,JavaScript,67
D002,2026-07-01 09:32:00,coding,Python,85
D021,2026-07-01 09:32:00,idle,TypeScript,81
D035,2026-07-01 09:32:00,coding,SQL,77
D087,2026-07-01 09:32:00,terminal,SQL,7
D080,2026-07-01 09:33:00,coding,JavaScript,85
D066,2026-07-01 09:34:00,coding,SQL,83
D017,2026-07-01 09:34:00,debugging,SQL,85
D067,2026-07-01 09:34:00,coding,Other,5
D044,2026-07-01 09:35:00,debugging,TypeScript,12
D046,2026-07-01 09:35:00,coding,Python,75
D074,2026-07-01 09:35:00,coding,Other,43
D024,2026-07-01 09:36:00,coding,TypeScript,49
D052,2026-07-01 09:36:00,coding,SQL,41
D094,2026-07-01 09:38:00,coding,JavaScript,89
D017,2026-07-01 09:38:00,coding,Java,6
D057,2026-07-01 09:38:00,coding,Java,69
D060,2026-07-01 09:38:00,coding,TypeScript,46
D039,2026-07-01 09:38:00,debugging,JavaScript,86
D098,2026-07-01 09:39:00,coding,JavaScript,26
D040,2026-07-01 09:39:00,coding,TypeScript,30
D093,2026-07-01 09:39:00,coding,TypeScript,85
D071,2026-07-01 09:40:00,coding,Python,55
D009,2026-07-01 09:43:00,idle,JavaScript,33
D009,2026-07-01 09:43:00,coding,JavaScript,48
D071,2026-07-01 09:43:00,coding,Python,33
D055,2026-07-01 09:43:00,terminal,SQL,82
D093,2026-07-01 09:44:00,coding,Java,39
D035,2026-07-01 09:46:00,debugging,JavaScript,38
D066,2026-07-01 09:46:00,coding,Other,22
D055,2026-07-01 09:46:00,debugging,TypeScript,50
D034,2026-07-01 09:48:00,coding,Python,62
D021,2026-07-01 09:48:00,terminal,TypeScript,22
D049,2026-07-01 09:48:00,coding,TypeScript,82
D004,2026-07-01 09:49:00,coding,Python,27
D067,2026-07-01 09:49:00,debugging,Other,66
D064,2026-07-01 09:49:00,coding,TypeScript,52
D064,2026-07-01 09:51:00,coding,TypeScript,24
D072,2026-07-01 09:51:00,coding,Python,57
D048,2026-07-01 09:51:00,file_edit,SQL,77
D096,2026-07-01 09:52:00,file_edit,TypeScript,36
D056,2026-07-01 09:53:00,file_edit,Java,37
D042,2026-07-01 09:53:00,terminal,TypeScript,10
D052,2026-07-01 09:53:00,terminal,Python,55
D028,2026-07-01 09:54:00,coding,JavaScript,63
D011,2026-07-01 09:55:00,file_edit,SQL,53
D078,2026-07-01 09:56:00,file_edit,SQL,74
D009,2026-07-01 09:57:00,debugging,SQL,4
D078,2026-07-01 09:57:00,coding,Python,53
D018,2026-07-01 09:57:00,debugging,Python,15
D062,2026-07-01 09:58:00,coding,Java,37
D079,2026-07-01 09:58:00,coding,Other,16
D036,2026-07-01 09:58:00,file_edit,Java,61
D046,2026-07-01 09:58:00,coding,JavaScript,45
D098,2026-07-01 09:59:00,terminal,JavaScript,62
D074,2026-07-01 09:59:00,coding,Other,10
D055,2026-07-01 09:59:00,terminal,Java,12
D036,2026-07-01 09:59:00,idle,Python,51
D057,2026-07-01 09:59:00,debugging,TypeScript,23
D088,2026-07-01 09:59:00,coding,Other,64
D077,2026-07-01 10:00:00,coding,SQL,48
D089,2026-07-01 10:00:00,coding,Other,24
D018,2026-07-01 10:00:00,coding,SQL,37
D092,2026-07-01 10:00:00,terminal,Other,85
D001,2026-07-01 10:03:00,terminal,Other,20
D008,2026-07-01 10:03:00,file_edit,JavaScript,53
D049,2026-07-01 10:04:00,coding,Python,6
D001,2026-07-01 10:04:00,file_edit,Other,1
D056,2026-07-01 10:05:00,coding,Other,86
D026,2026-07-01 10:05:00,coding,Java,36
D027,2026-07-01 10:07:00,file_edit,TypeScript,48
D009,2026-07-01 10:07:00,idle,TypeScript,88
D055,2026-07-01 10:07:00,coding,SQL,34
D100,2026-07-01 10:08:00,file_edit,TypeScript,6
D057,2026-07-01 10:08:00,coding,TypeScript,42
D061,2026-07-01 10:08:00,coding,SQL,79
D090,2026-07-01 10:08:00,coding,Java,18
D029,2026-07-01 10:09:00,coding,Java,27
D019,2026-07-01 10:09:00,coding,Python,74
D069,2026-07-01 10:09:00,coding,TypeScript,40
D001,2026-07-01 10:10:00,terminal,TypeScript,18
D092,2026-07-01 10:10:00,coding,TypeScript,51
D075,2026-07-01 10:11:00,file_edit,SQL,75
D005,2026-07-01 10:11:00,file_edit,TypeScript,54
D048,2026-07-01 10:12:00,file_edit,Java,57
D042,2026-07-01 10:12:00,debugging,SQL,35
D083,2026-07-01 10:12:00,coding,JavaScript,58
D053,2026-07-01 10:14:00,file_edit,JavaScript,50
D018,2026-07-01 10:15:00,coding,JavaScript,66
D063,2026-07-01 10:15:00,coding,JavaScript,10
D092,2026-07-01 10:15:00,file_edit,JavaScript,37
D049,2026-07-01 10:17:00,debugging,JavaScript,21
D067,2026-07-01 10:17:00,debugging,Java,35
D021,2026-07-01 10:17:00,coding,SQL,58
D060,2026-07-01 10:17:00,terminal,TypeScript,14
D022,2026-07-01 10:19:00,coding,TypeScript,13
D010,2026-07-01 10:20:00,file_edit,TypeScript,16
D064,2026-07-01 10:20:00,coding,SQL,27
D018,2026-07-01 10:21:00,file_edit,SQL,55
D099,2026-07-01 10:21:00,coding,Other,87
D037,2026-07-01 10:21:00,coding,Java,88
D070,2026-07-01 10:21:00,coding,Python,34
D001,2026-07-01 10:22:00,file_edit,Other,6
D046,2026-07-01 10:22:00,coding,JavaScript,17
D015,2026-07-01 10:23:00,debugging,JavaScript,15
D036,2026-07-01 10:24:00,coding,JavaScript,53
D093,2026-07-01 10:25:00,debugging,Python,6
D041,2026-07-01 10:25:00,terminal,Other,15
D098,2026-07-01 10:26:00,terminal,Python,58
D053,2026-07-01 10:27:00,debugging,JavaScript,4
D017,2026-07-01 10:27:00,coding,Other,73
D001,2026-07-01 10:27:00,debugging,Python,25
D096,2026-07-01 10:28:00,debugging,JavaScript,4
D068,2026-07-01 10:28:00,debugging,Python,73
D036,2026-07-01 10:30:00,file_edit,SQL,3
D069,2026-07-01 10:31:00,file_edit,Python,26
D068,2026-07-01 10:32:00,file_edit,SQL,35
D079,2026-07-01 10:32:00,coding,Other,73
D019,2026-07-01 10:32:00,coding,TypeScript,19
D098,2026-07-01 10:33:00,coding,Java,46
D094,2026-07-01 10:33:00,debugging,Python,62
D002,2026-07-01 10:34:00,coding,Python,4
D033,2026-07-01 10:34:00,coding,Java,11
D059,2026-07-01 10:34:00,coding,Other,39
D004,2026-07-01 10:35:00,idle,TypeScript,49
D077,2026-07-01 10:35:00,coding,Python,73
D080,2026-07-01 10:35:00,coding,SQL,72
D030,2026-07-01 10:35:00,file_edit,TypeScript,70
D057,2026-07-01 10:36:00,terminal,Java,68
D067,2026-07-01 10:36:00,coding,SQL,61
D004,2026-07-01 10:37:00,coding,Python,35
D032,2026-07-01 10:37:00,coding,Python,58
D037,2026-07-01 10:38:00,coding,TypeScript,31
D079,2026-07-01 10:39:00,coding,TypeScript,76
D097,2026-07-01 10:40:00,terminal,Python,83
D025,2026-07-01 10:40:00,idle,JavaScript,84
D019,2026-07-01 10:40:00,debugging,SQL,3
D032,2026-07-01 10:40:00,idle,SQL,90
D081,2026-07-01 10:41:00,coding,JavaScript,70
D028,2026-07-01 10:42:00,terminal,TypeScript,54
D052,2026-07-01 10:42:00,file_edit,SQL,8
D038,2026-07-01 10:42:00,coding,TypeScript,75
D077,2026-07-01 10:43:00,file_edit,Python,31
D040,2026-07-01 10:43:00,coding,Java,43
D035,2026-07-01 10:44:00,debugging,Java,46
D064,2026-07-01 10:44:00,coding,Java,70
D089,2026-07-01 10:44:00,coding,TypeScript,61
D035,2026-07-01 10:44:00,coding,TypeScript,15
D038,2026-07-01 10:45:00,idle,Python,69
D098,2026-07-01 10:45:00,coding,TypeScript,32
D020,2026-07-01 10:45:00,coding,Python,80
D060,2026-07-01 10:46:00,idle,Other,62
D063,2026-07-01 10:48:00,debugging,JavaScript,44
D086,2026-07-01 10:48:00,coding,Other,71
D036,2026-07-01 10:48:00,debugging,Java,65
D079,2026-07-01 10:50:00,coding,Other,75
D039,2026-07-01 10:50:00,coding,JavaScript,76
D082,2026-07-01 10:51:00,debugging,Python,18
D053,2026-07-01 10:52:00,coding,JavaScript,67
D091,2026-07-01 10:52:00,coding,JavaScript,75
D093,2026-07-01 10:53:00,coding,TypeScript,51
D010,2026-07-01 10:55:00,idle,Python,6
D002,2026-07-01 10:55:00,debugging,Java,47
D072,2026-07-01 10:55:00,terminal,Other,22
D080,2026-07-01 10:57:00,file_edit,Other,65
D032,2026-07-01 10:58:00,debugging,Python,67
D006,2026-07-01 10:58:00,coding,Python,17
D067,2026-07-01 10:58:00,coding,JavaScript,13
D083,2026-07-01 10:58:00,coding,Other,15
D049,2026-07-01 10:58:00,debugging,Java,61
D058,2026-07-01 10:59:00,coding,Java,82
D026,2026-07-01 10:59:00,debugging,JavaScript,36
D047,2026-07-01 11:00:00,file_edit,JavaScript,15
D054,2026-07-01 11:00:00,terminal,Python,70
D013,2026-07-01 11:01:00,coding,Python,11
D027,2026-07-01 11:02:00,coding,TypeScript,34
D078,2026-07-01 11:03:00,coding,TypeScript,29
D038,2026-07-01 11:03:00,terminal,TypeScript,51
D061,2026-07-01 11:03:00,debugging,TypeScript,55
D044,2026-07-01 11:05:00,debugging,Java,36
D048,2026-07-01 11:05:00,coding,JavaScript,46
D014,2026-07-01 11:05:00,debugging,Python,32
D038,2026-07-01 11:05:00,file_edit,TypeScript,27
D070,2026-07-01 11:06:00,file_edit,Python,45
D069,2026-07-01 11:06:00,coding,JavaScript,28
D054,2026-07-01 11:06:00,debugging,JavaScript,65
D012,2026-07-01 11:07:00,idle,JavaScript,19
D059,2026-07-01 11:07:00,coding,Java,26
D005,2026-07-01 11:07:00,coding,Java,2
D050,2026-07-01 11:07:00,coding,JavaScript,40
D038,2026-07-01 11:08:00,coding,SQL,59
D005,2026-07-01 11:09:00,terminal,Python,81
D010,2026-07-01 11:09:00,file_edit,Python,41
D024,2026-07-01 11:09:00,coding,Python,48
D047,2026-07-01 11:10:00,file_edit,SQL,48
D028,2026-07-01 11:10:00,coding,Other,27
D095,2026-07-01 11:10:00,terminal,TypeScript,59
D027,2026-07-01 11:11:00,debugging,Java,28
D054,2026-07-01 11:11:00,coding,SQL,62
D022,2026-07-01 11:11:00,terminal,Other,59
D045,2026-07-01 11:12:00,coding,JavaScript,39
D085,2026-07-01 11:12:00,coding,SQL,34
D051,2026-07-01 11:13:00,debugging,SQL,13
D043,2026-07-01 11:14:00,coding,Java,63
D016,2026-07-01 11:14:00,debugging,Python,48
D099,2026-07-01 11:14:00,file_edit,Other,35
D013,2026-07-01 11:14:00,coding,Java,80
D028,2026-07-01 11:15:00,coding,SQL,74
D022,2026-07-01 11:15:00,coding,JavaScript,58
D017,2026-07-01 11:15:00,coding,Java,70
D013,2026-07-01 11:16:00,file_edit,JavaScript,25
D011,2026-07-01 11:16:00,coding,Java,3
D038,2026-07-01 11:18:00,file_edit,Java,86
D047,2026-07-01 11:18:00,coding,Other,76
D014,2026-07-01 11:19:00,debugging,TypeScript,25
D029,2026-07-01 11:19:00,debugging,Other,82
D094,2026-07-01 11:19:00,coding,Java,73
D076,2026-07-01 11:20:00,terminal,JavaScript,88
D011,2026-07-01 11:21:00,debugging,JavaScript,23
D033,2026-07-01 11:23:00,coding,Java,31
D074,2026-07-01 11:23:00,coding,JavaScript,64
D059,2026-07-01 11:25:00,file_edit,TypeScript,49
D032,2026-07-01 11:25:00,coding,Other,68
D016,2026-07-01 11:26:00,idle,Other,11
D030,2026-07-01 11:27:00,debugging,Java,27
D002,2026-07-01 11:28:00,coding,Other,73
D042,2026-07-01 11:29:00,coding,Python,19
D008,2026-07-01 11:29:00,coding,Java,41
D095,2026-07-01 11:29:00,debugging,JavaScript,35
D015,2026-07-01 11:30:00,coding,TypeScript,39
D089,2026-07-01 11:31:00,debugging,Python,14
D025,2026-07-01 11:31:00,terminal,TypeScript,30
D058,2026-07-01 11:31:00,debugging,Python,69
D036,2026-07-01 11:32:00,idle,JavaScript,17
D033,2026-07-01 11:33:00,coding,SQL,70
D012,2026-07-01 11:33:00,coding,JavaScript,19
D074,2026-07-01 11:33:00,coding,Python,48
D075,2026-07-01 11:34:00,coding,Other,60
D031,2026-07-01 11:34:00,debugging,Java,66
D086,2026-07-01 11:34:00,idle,SQL,40
D004,2026-07-01 11:34:00,file_edit,JavaScript,45
D082,2026-07-01 11:34:00,file_edit,TypeScript,68
D064,2026-07-01 11:35:00,coding,Java,82
D002,2026-07-01 11:35:00,debugging,Python,13
D033,2026-07-01 11:37:00,coding,Other,35
D038,2026-07-01 11:37:00,idle,TypeScript,48
D093,2026-07-01 11:37:00,coding,Python,2
D056,2026-07-01 11:38:00,debugging,Java,72
D075,2026-07-01 11:39:00,coding,Python,44
D078,2026-07-01 11:39:00,file_edit,Other,78
D042,2026-07-01 11:40:00,coding,Python,8
D071,2026-07-01 11:40:00,debugging,Python,76
D095,2026-07-01 11:41:00,terminal,JavaScript,55
D064,2026-07-01 11:41:00,coding,TypeScript,35
D045,2026-07-01 11:42:00,file_edit,JavaScript,26
D033,2026-07-01 11:42:00,file_edit,SQL,75
D073,2026-07-01 11:43:00,coding,SQL,70
D079,2026-07-01 11:43:00,terminal,JavaScript,33
D091,2026-07-01 11:44:00,terminal,SQL,34
D025,2026-07-01 11:44:00,coding,Python,25
D019,2026-07-01 11:44:00,coding,JavaScript,83
D036,2026-07-01 11:45:00,coding,JavaScript,35
D076,2026-07-01 11:45:00,debugging,Other,29
D099,2026-07-01 11:45:00,coding,Java,76
D045,2026-07-01 11:46:00,coding,TypeScript,70
D071,2026-07-01 11:46:00,coding,Java,72
D033,2026-07-01 11:46:00,file_edit,Python,56
D062,2026-07-01 11:47:00,coding,Python,6
D054,2026-07-01 11:47:00,coding,Other,36
D080,2026-07-01 11:47:00,coding,JavaScript,30
D087,2026-07-01 11:47:00,coding,JavaScript,82
D033,2026-07-01 11:47:00,file_edit,TypeScript,15
D030,2026-07-01 11:47:00,debugging,Other,38
D037,2026-07-01 11:48:00,coding,TypeScript,85
D006,2026-07-01 11:48:00,coding,Java,81
D004,2026-07-01 11:48:00,coding,SQL,53
D003,2026-07-01 11:48:00,debugging,SQL,83
D074,2026-07-01 11:49:00,coding,Java,58
D056,2026-07-01 11:49:00,debugging,Java,21
D057,2026-07-01 11:50:00,coding,Other,6
D004,2026-07-01 11:51:00,file_edit,SQL,6
D069,2026-07-01 11:51:00,coding,SQL,16
D075,2026-07-01 11:51:00,coding,Python,67
D041,2026-07-01 11:51:00,idle,JavaScript,40
D036,2026-07-01 11:51:00,file_edit,Other,25
D050,2026-07-01 11:51:00,coding,Other,3
D071,2026-07-01 11:51:00,file_edit,JavaScript,15
D060,2026-07-01 11:52:00,debugging,Java,75
D089,2026-07-01 11:52:00,file_edit,JavaScript,42
D096,2026-07-01 11:52:00,debugging,JavaScript,46
D072,2026-07-01 11:52:00,coding,Python,43
D080,2026-07-01 11:54:00,debugging,Other,85
D044,2026-07-01 11:55:00,debugging,Python,69
D024,2026-07-01 11:55:00,debugging,Other,81
D018,2026-07-01 11:55:00,coding,Other,36
D007,2026-07-01 11:55:00,coding,Java,48
D061,2026-07-01 11:55:00,idle,TypeScript,8
D087,2026-07-01 11:56:00,debugging,Other,52
D070,2026-07-01 11:56:00,coding,SQL,84
D001,2026-07-01 11:56:00,terminal,Java,21
D100,2026-07-01 11:57:00,coding,Python,73
D043,2026-07-01 11:57:00,coding,Python,27
D014,2026-07-01 11:58:00,coding,Python,79
D013,2026-07-01 11:59:00,terminal,TypeScript,6
D035,2026-07-01 12:00:00,coding,JavaScript,34
D026,2026-07-01 12:00:00,coding,Python,54
D007,2026-07-01 12:00:00,coding,JavaScript,51
D087,2026-07-01 12:01:00,coding,Java,45
D043,2026-07-01 12:02:00,coding,Java,48
D006,2026-07-01 12:02:00,idle,TypeScript,35
D011,2026-07-01 12:03:00,debugging,Java,88
D039,2026-07-01 12:03:00,terminal,JavaScript,23
D069,2026-07-01 12:03:00,debugging,SQL,32
D071,2026-07-01 12:03:00,debugging,Java,33
D058,2026-07-01 12:05:00,coding,TypeScript,58
D041,2026-07-01 12:05:00,debugging,Python,31
D089,2026-07-01 12:07:00,coding,Other,9
D024,2026-07-01 12:08:00,coding,TypeScript,39
D093,2026-07-01 12:08:00,terminal,Other,82
D065,2026-07-01 12:08:00,coding,TypeScript,38
D087,2026-07-01 12:10:00,coding,Python,24
D071,2026-07-01 12:11:00,debugging,JavaScript,53
D063,2026-07-01 12:12:00,coding,Other,25
D059,2026-07-01 12:12:00,coding,JavaScript,14
D002,2026-07-01 12:13:00,debugging,Python,65
D051,2026-07-01 12:13:00,coding,Other,6
D034,2026-07-01 12:14:00,file_edit,JavaScript,1
D034,2026-07-01 12:15:00,coding,JavaScript,4
D097,2026-07-01 12:16:00,coding,Python,52
D045,2026-07-01 12:16:00,coding,TypeScript,81
D044,2026-07-01 12:16:00,debugging,JavaScript,68
D047,2026-07-01 12:17:00,file_edit,SQL,48
D057,2026-07-01 12:17:00,coding,Other,39
D007,2026-07-01 12:18:00,file_edit,JavaScript,27
D027,2026-07-01 12:18:00,terminal,Java,35
D064,2026-07-01 12:18:00,coding,Other,55
D005,2026-07-01 12:20:00,file_edit,TypeScript,20
D014,2026-07-01 12:20:00,coding,Java,33
D024,2026-07-01 12:21:00,coding,Java,45
D015,2026-07-01 12:21:00,idle,Java,63
D055,2026-07-01 12:21:00,debugging,JavaScript,81
D013,2026-07-01 12:22:00,idle,Java,11
D097,2026-07-01 12:22:00,debugging,Python,30
D007,2026-07-01 12:23:00,coding,JavaScript,54
D005,2026-07-01 12:23:00,coding,Python,78
D019,2026-07-01 12:24:00,debugging,TypeScript,55
D014,2026-07-01 12:26:00,file_edit,Java,50
D088,2026-07-01 12:27:00,coding,Java,22
D071,2026-07-01 12:27:00,terminal,JavaScript,43
D010,2026-07-01 12:28:00,coding,Other,12
D004,2026-07-01 12:28:00,coding,Python,59
D019,2026-07-01 12:29:00,coding,Java,65
D060,2026-07-01 12:29:00,coding,JavaScript,4
D024,2026-07-01 12:30:00,coding,SQL,53
D008,2026-07-01 12:32:00,terminal,Python,17
D087,2026-07-01 12:32:00,coding,TypeScript,37
D025,2026-07-01 12:32:00,idle,TypeScript,76
D070,2026-07-01 12:33:00,coding,Python,72
D093,2026-07-01 12:33:00,debugging,Other,56
D042,2026-07-01 12:33:00,coding,Other,2
D050,2026-07-01 12:33:00,coding,Python,64
D045,2026-07-01 12:34:00,file_edit,Java,23
D048,2026-07-01 12:34:00,coding,JavaScript,68
D050,2026-07-01 12:34:00,coding,SQL,75
D059,2026-07-01 12:36:00,debugging,JavaScript,62
D044,2026-07-01 12:37:00,idle,JavaScript,14
D010,2026-07-01 12:37:00,coding,TypeScript,62
D086,2026-07-01 12:38:00,coding,SQL,67
D058,2026-07-01 12:38:00,coding,JavaScript,8
D063,2026-07-01 12:38:00,debugging,TypeScript,56
D089,2026-07-01 12:40:00,coding,JavaScript,36
D062,2026-07-01 12:40:00,idle,TypeScript,86
D028,2026-07-01 12:40:00,idle,Java,83
D095,2026-07-01 12:42:00,terminal,Python,30
D081,2026-07-01 12:42:00,idle,Java,42
D097,2026-07-01 12:42:00,coding,Other,19
D078,2026-07-01 12:43:00,coding,Python,4
D089,2026-07-01 12:43:00,debugging,JavaScript,32
D097,2026-07-01 12:43:00,coding,SQL,10
D078,2026-07-01 12:44:00,coding,Other,35
D077,2026-07-01 12:44:00,coding,JavaScript,32
D011,2026-07-01 12:45:00,coding,TypeScript,67
D089,2026-07-01 12:45:00,coding,SQL,65
D090,2026-07-01 12:46:00,file_edit,TypeScript,67
D074,2026-07-01 12:46:00,file_edit,JavaScript,38
D031,2026-07-01 12:46:00,coding,TypeScript,34
D094,2026-07-01 12:46:00,terminal,TypeScript,62
D041,2026-07-01 12:47:00,coding,Python,60
D041,2026-07-01 12:47:00,file_edit,Python,15
D033,2026-07-01 12:48:00,coding,TypeScript,80
D009,2026-07-01 12:49:00,debugging,TypeScript,14
D013,2026-07-01 12:49:00,terminal,TypeScript,4
D036,2026-07-01 12:50:00,debugging,Python,85
D045,2026-07-01 12:50:00,coding,Python,13
D062,2026-07-01 12:50:00,coding,Java,20
D007,2026-07-01 12:50:00,coding,JavaScript,41
D054,2026-07-01 12:51:00,coding,TypeScript,26
D100,2026-07-01 12:51:00,coding,Other,33
D014,2026-07-01 12:52:00,idle,Python,88
D030,2026-07-01 12:53:00,terminal,Java,90
D023,2026-07-01 12:53:00,coding,Other,11
D060,2026-07-01 12:53:00,coding,TypeScript,7
D033,2026-07-01 12:53:00,coding,Java,30
D056,2026-07-01 12:53:00,file_edit,SQL,43
D078,2026-07-01 12:54:00,coding,JavaScript,14
D028,2026-07-01 12:54:00,debugging,Other,5
D039,2026-07-01 12:55:00,debugging,SQL,59
D006,2026-07-01 12:55:00,coding,Java,48
D008,2026-07-01 12:55:00,coding,SQL,29
D033,2026-07-01 12:56:00,debugging,Python,14
D003,2026-07-01 12:56:00,debugging,Other,90
D002,2026-07-01 12:56:00,idle,Java,51
D070,2026-07-01 12:56:00,coding,Python,88
D019,2026-07-01 12:56:00,idle,SQL,77
D020,2026-07-01 12:57:00,terminal,Python,58
D001,2026-07-01 12:57:00,idle,TypeScript,53
D002,2026-07-01 12:58:00,terminal,Java,51
D019,2026-07-01 12:59:00,coding,Java,89
D018,2026-07-01 12:59:00,debugging,Java,23
D073,2026-07-01 12:59:00,coding,TypeScript,25
D031,2026-07-01 12:59:00,file_edit,Python,13
D083,2026-07-01 13:00:00,file_edit,Other,26
D098,2026-07-01 13:01:00,file_edit,TypeScript,34
D012,2026-07-01 13:01:00,debugging,Python,81
D002,2026-07-01 13:01:00,coding,Java,84
D031,2026-07-01 13:01:00,debugging,JavaScript,61
D079,2026-07-01 13:02:00,coding,SQL,3
D097,2026-07-01 13:02:00,coding,SQL,64
D037,2026-07-01 13:02:00,file_edit,SQL,12
D076,2026-07-01 13:02:00,coding,Other,44
D019,2026-07-01 13:03:00,debugging,Python,68
D030,2026-07-01 13:03:00,coding,SQL,12
D067,2026-07-01 13:04:00,debugging,Python,32
D096,2026-07-01 13:04:00,file_edit,Java,64
D036,2026-07-01 13:05:00,coding,TypeScript,59
D073,2026-07-01 13:05:00,debugging,TypeScript,39
D031,2026-07-01 13:05:00,terminal,JavaScript,26
D056,2026-07-01 13:05:00,coding,Other,55
D053,2026-07-01 13:05:00,coding,Java,90
D001,2026-07-01 13:05:00,terminal,SQL,68
D061,2026-07-01 13:05:00,file_edit,TypeScript,48
D042,2026-07-01 13:05:00,coding,Other,82
D062,2026-07-01 13:05:00,file_edit,Python,64
D013,2026-07-01 13:06:00,coding,SQL,21
D038,2026-07-01 13:06:00,coding,JavaScript,15
D091,2026-07-01 13:07:00,debugging,Python,43
D013,2026-07-01 13:08:00,debugging,JavaScript,10
D099,2026-07-01 13:08:00,debugging,TypeScript,68
D017,2026-07-01 13:08:00,file_edit,SQL,11
D007,2026-07-01 13:09:00,coding,Other,6
D027,2026-07-01 13:10:00,terminal,TypeScript,75
D045,2026-07-01 13:10:00,coding,JavaScript,48
D047,2026-07-01 13:10:00,terminal,SQL,24
D035,2026-07-01 13:10:00,debugging,TypeScript,57
D098,2026-07-01 13:11:00,debugging,Java,44
D099,2026-07-01 13:12:00,coding,Java,86
D063,2026-07-01 13:12:00,coding,TypeScript,68
D076,2026-07-01 13:12:00,debugging,Other,37
D027,2026-07-01 13:12:00,coding,Other,54
D039,2026-07-01 13:12:00,coding,Other,33
D047,2026-07-01 13:13:00,terminal,Python,44
D060,2026-07-01 13:13:00,file_edit,Other,47
D083,2026-07-01 13:13:00,coding,JavaScript,66
D058,2026-07-01 13:14:00,coding,Other,9
D064,2026-07-01 13:14:00,terminal,JavaScript,18
D100,2026-07-01 13:14:00,file_edit,JavaScript,58
D023,2026-07-01 13:14:00,file_edit,Other,31
D047,2026-07-01 13:15:00,debugging,Python,49
D079,2026-07-01 13:15:00,coding,JavaScript,90
D063,2026-07-01 13:15:00,coding,Java,41
D017,2026-07-01 13:16:00,coding,Other,42
D021,2026-07-01 13:16:00,debugging,Java,5
D050,2026-07-01 13:17:00,terminal,Python,4
D082,2026-07-01 13:17:00,debugging,SQL,12
